Palm_genus,Palm_epithet,Palm_species,Country_of_sampling,State,Biome,Site_name,Lat,Long,Site_ID,Palm_ID,Seed_ID,Seed_diameter_mm,Collected_measured_by,Year_of_sampling
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539643,-42.360372,Site3,Ee3,92,11.9,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539644,-42.360373,Site3,Ee3,93,11.6,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539645,-42.360374,Site3,Ee3,94,11.1,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539646,-42.360375,Site3,Ee3,95,10.18,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539647,-42.360376,Site3,Ee3,96,12.17,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539648,-42.360377,Site3,Ee3,97,10.75,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539649,-42.360378,Site3,Ee3,98,11.43,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.53965,-42.360379,Site3,Ee3,99,10.7,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539651,-42.36038,Site3,Ee3,100,10.21,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539652,-42.360381,Site3,Ee3,101,10.13,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539653,-42.360382,Site3,Ee3,102,11.54,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539654,-42.360383,Site3,Ee3,103,12.39,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539655,-42.360384,Site3,Ee3,104,9.75,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539656,-42.360385,Site3,Ee3,105,11.42,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539657,-42.360386,Site3,Ee3,106,10.34,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539658,-42.360387,Site3,Ee3,107,10.7,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539659,-42.360388,Site3,Ee3,108,12.01,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.53966,-42.360389,Site3,Ee3,109,11.84,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539661,-42.36039,Site3,Ee3,110,12.77,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539662,-42.360391,Site3,Ee3,111,12.1,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539663,-42.360392,Site3,Ee3,112,11.43,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539664,-42.360393,Site3,Ee3,113,12.89,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539665,-42.360394,Site3,Ee3,114,12.63,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539666,-42.360395,Site3,Ee3,115,10.18,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539667,-42.360396,Site3,Ee3,116,12.22,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539668,-42.360397,Site3,Ee3,117,12.12,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539669,-42.360398,Site3,Ee3,118,11.33,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.53967,-42.360399,Site3,Ee3,119,11.98,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539671,-42.3604,Site3,Ee3,120,11.47,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539672,-42.360401,Site3,Ee3,121,10.89,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539673,-42.360402,Site3,Ee3,122,11.92,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539674,-42.360403,Site3,Ee3,123,12.24,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539675,-42.360404,Site3,Ee3,124,12.03,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539676,-42.360405,Site3,Ee3,125,12.02,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539677,-42.360406,Site3,Ee3,126,10.6,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539678,-42.360407,Site3,Ee3,127,12.27,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539679,-42.360408,Site3,Ee3,128,12.4,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.53968,-42.360409,Site3,Ee3,129,12.12,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539681,-42.36041,Site3,Ee3,130,10.41,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539682,-42.360411,Site3,Ee3,131,11.6,CarolineMarquesDracxler,2011/2012
