Herbariu,Genus,Species,Collecto,Number,Country,Latitude,Longitud,Elevatio,Stemheig,Stemdiam,Stemclus,Stemclus,Pinclust,Pinnaecl,Lenmidpi,Widmidpi,Lfratio,Anglepin,Noveins,Inflobra,Nobracts,Lenpedun,Lenrachi,Widrachi,Ratiorac,Norachil,Lenbasra,Lenmidra,Lenapira,Nostamfl,Nostamen,Lenfruit,Widfruit,Ratiofru,Endosper,Norumina,Deprumin,Orders,Numracllae
ny,Synechanthus,warscewiczianus,Henderson,3052,Panama,9.2,79.47,,1.82,0.022,clu,2,reg,1,0.407,0.035,0.085995086,29,7,1,8,0.528,0.144,6.3,43.75,39,0.213,0.19,0.154,5,,,,,,,,,
ny,Synechanthus,warscewiczianus,Henderson,51,Costa Rica,10.26,84.01,,4,,clu,2,reg,1,0.571,0.066,0.11558669,35,15,1,7,0.477,0.16,3.3,20.625,45,0.32,0.248,0.162,8,3,,,,,,,,
ny,Synechanthus,warscewiczianus,Henderson,70,Costa Rica,8.45,83.2,150,3,,sol,1,reg,1,0.414,0.031,0.074879227,45,6,1,,,0.131,4.7,35.8778626,28,0.405,0.375,0.24,6,,0.015,0.0072,0.48,rum,11,1.7,,
ny,Synechanthus,warscewiczianus,Henderson,708,Panama,9.17,78.58,375,4,0.025,sol,1,reg,1,0.435,0.113,0.259770115,39,21,1,7,0.359,0.149,3.5,23.48993289,53,0.244,0.191,0.145,7,,,,,,,,,
ny,Synechanthus,warscewiczianus,Henderson,94,Panama,7.5,77.45,,3,,clu,2,reg,1,0.3,0.016,0.053333333,48,5,1,8,0.464,0.161,2.9,18.01242236,30,0.411,0.345,0.327,9,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Herrera,1047,Costa Rica,10.55,85.2,500,,,sol,1,reg,1,0.485,0.038,0.078350515,40,4,1,8,0.364,0.135,3,22.22222222,40,0.255,0.19,0.148,8,,,,,,,,,
mo,Synechanthus,warscewiczianus,Holm,911,Costa Rica,10.43,84.48,90,4,,,,reg,1,0.475,0.036,0.075789474,40,6,1,,,0.167,4.9,29.34131737,39,0.225,0.22,0.113,,,,,,,,,,
bh,Synechanthus,warscewiczianus,Hubbuch,132,Panama,8.35,82.16,900,4,0.04,clu,2,reg,1,0.575,0.094,0.163478261,34,25,1,9,0.546,0.187,3.1,16.57754011,47,0.27,,,11,,0.0223,0.0099,0.443946188,rum,7,3,,
mo,Synechanthus,warscewiczianus,Inbio,47,Costa Rica,11.02,85.24,550,,,,,reg,1,0.456,0.035,0.076754386,23,5,1,9,0.523,0.109,3.6,33.02752294,36,0.168,,,7,,0.023,0.0078,0.339130435,rum,10,2.3,,
mo,Synechanthus,warscewiczianus,Janzen,134,Costa Rica,10.26,84.01,,,,,,reg,1,0.497,0.082,0.16498994,38,12,1,7,0.46,0.148,6.5,43.91891892,46,0.31,0.273,0.166,8,,,,,,,,,
