Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,excelsa,,excelsa,NY,A. Henderson,3482,Vietnam,18.09,18.14,105.54,105.908,100,staminate,2.5,,,3.8,12,35,4.4,9.8,32,1.6,4.3,24.5,,,,,,,1,1,0,1,0,0,,,,,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3490,Vietnam,16.39,16.65,107.02,107.037,500,staminate,3,,,4.5,9,33,3.1,6.5,30,2.7,4.7,17,,,,,,,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3595,Vietnam,16.17,16.293,108.02,108.043,5,sterile,0.5,,17,2.2,6,23.5,3.8,3,23,3.3,4,,,,,,3,0,1,1,0,1,,,,,,,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3823,Vietnam,17.34,17.56,106.18,106.3,20,sterile,,,,3.1,10,30,3.4,3,29,2,1.8,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,HNU,Nam,,Vietnam,21.39,21.66,106.19,106.333,,pistillate,,,12,3.4,9,22.7,3,3,21.5,2.5,2.8,,,,7.6,6.1,,,1,1,0,1,,0,,1,,,1,
Rhapis,excelsa,,excelsa,LE,,13,Vietnam,21.05,21.08,107.35,107.58,,sterile,,1.36,27.5,2.3,6,27.5,3.6,4,26,3.5,2.6,,,,,,3,0,1,1,0,1,,,,,,,,
Rhapis,excelsa,,excelsa,HN,L. Averyanov,160,Vietnam,21.04,21.06,107.36,107.6,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,LE,,1072,Vietnam,21.4,21.66,106.3,106.5,,sterile,,,,2.4,7,24.3,2.1,2.7,21.5,1.3,0.7,,,,,,,,,,,,,,,,,,,
Rhapis,excelsa,,excelsa,HNU,Thin,1372,Vietnam,21.39,21.66,106.19,106.333,,staminate,,,21,3.3,6,29.5,4,2.5,27.5,2.7,1.7,,,,,,,,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,Nguyen Quoc Dung,2032,Vietnam,21.14,21.23,106.28,106.46,200,,,,,3,12,30.5,3.1,1.7,29,1.4,1,,,,,,3,0,1,1,0,1,,,,,,,,
