Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
253,Attalea,maripa,,M. maripa,NY,Vasquez,9185,Peru,4.1,-4.16,73.2,-73.33,120,,20,,,,,,,,,,,17,,8.6,6,,,,,,1,,,,3,,,,,,,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
254,Attalea,maripa,,M. maripa,NY,Noblick,4973,Brazil,5.02,-5.03,47.01,-47.01,,,5.5,34,14,,,549,261,106,5.5,90,17,11,500,8.5,6,7.5,483,49,30.7,2,1,,1,,3,,2,,,1,1,,8,2,2,2,1,1,1,1,1,2,,2,2,,,,,,,,,brown
255,Attalea,maripa,,M. maripa,NY,Davis,963,Ecuador,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,3,,2,,,1,1,,8,2,2,2,1,1,1,,1,2,,,,,,,,,,,,
256,Attalea,maripa,,M. maripa,NY,Balick,920,Brazil,,,,,,,25,30,,,,,,150,,,,,,,,,,,,,1,,1,,3,,2,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,
257,Attalea,maripa,,M. maripa,NY,Balick,1555,Brazil,3.3,-3.5,45.3,-45.5,,5,,28,16,,,,318,108,4.5,115,,21,,12.8,6,,,,,,1,,1,,3,,2,2,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
258,Attalea,maripa,,M. maripa,NY,Wessels Boer,345,Surinam,5.2,5.33,56.27,-56.45,,,12,,12,,330,,229,,,,,11.5,,12.5,6,,,,,,1,,1,,3,,2,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
259,Attalea,maripa,,M. maripa,NY,Wessels Boer,347,Surinam,5.2,5.33,56.27,-56.45,,,7,32,14,,,,248,105.5,4.5,,,16.5,,13.3,6,17.5,,,,,1,,,,3,,2,,,1,1,6,8,2,2,2,1,1,1,,1,2,,,,,,,,,,,,
260,Attalea,maripa,,M. maripa,NY,Gentry,52306,Peru,5.58,-5.96,76.13,-76.21,200,15,3,,,,150,,229,,,,,,,,,,,53.1,26.5,,1,,1,,3,,2,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,brown
261,Attalea,maripa,,M. maripa,NY,Blicher,1,Peru,4.07,-4.11,73.2,-73.33,,,14.8,28,14,,,576,,,4,178,80,18,,7.2,6,,,,,,1,,1,,3,,2,2,1,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
262,Attalea,maripa,,M. maripa,NY,Fernandez,7008,Venezuela,2.58,2.96,64.14,-64.23,200,23,,,,,,,,,3.3,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
